source_text,plagiarized_text,label
The Pyramids of Giza are ancient structures in Egypt,Ancient structures found in Egypt include the Pyramids of Giza,1
The Atlantic Ocean is the second-largest ocean in the world,The world's second-largest ocean is the Atlantic Ocean,1
The human respiratory system includes the lungs,The lungs are a crucial part of the human respiratory system,1
Nitrogen makes up a significant portion of Earth's atmosphere,A substantial portion of Earth's atmosphere is composed of nitrogen,1
The Sistine Chapel is renowned for its ceiling painted by Michelangelo,Michelangelo painted the iconic ceiling of the Sistine Chapel,1
The Nile River is the longest river in Africa,The longest river in Africa is the Nile River,1
Bananas are a good source of potassium,An excellent source of potassium is found in bananas,1
A light-year is a unit of astronomical distance,Astronomical distances are often measured in units called light-years,1
The Mona Lisa is housed in the Louvre Museum,The Louvre Museum is home to the famous painting  the Mona Lisa ,1
The moon is made of green cheese,The moon's composition includes green cheese,0
Albert Einstein invented the computer,The computer was invented by Albert Einstein,0
Humans can breathe underwater,Underwater  humans can breathe as easily as fish,0
Mount Everest is located in the United States,The United States is home to Mount Everest,0
Bananas grow on trees, Bananas are harvested from banana trees,0
Water is not necessary for human survival,Human survival does not require water,0
The Great Wall of China is visible from the moon,The Great Wall of China cannot be seen from the moon with the naked eye,0
Elephants can fly, Elephants have the ability to fly,0
A day on Venus is shorter than a day on Earth,A day on Venus is longer than a day on Earth,0
The Earth is flat,The Earth is a flat  disc-shaped object,0
The first computer programmer was Ada Lovelace,Ada Lovelace is recognized as the first computer programmer,1
The Himalayas are the highest mountain range in the world,The highest mountain range globally is the Himalayas,1
The Pacific Ring of Fire is known for its high seismic and volcanic activity,High seismic and volcanic activity characterize the Pacific Ring of Fire,1
Mercury is the hottest planet in our solar system,Venus is the hottest planet in our solar system,0
Spiders are insects,Insects and spiders belong to the same taxonomic group,0
Fish can survive out of water for an indefinite period, Fish cannot survive outside of water for an extended time,0
Goldfish have a three-second memory span,Goldfish possess a much longer memory span than three seconds,0
You can't fold a piece of paper more than seven times,It's impossible to fold a piece of paper more than 13 times,0
The sun is a star located at the center of our solar system,At the center of our solar system is a star known as the sun,1
